TimeReceived,DownloadSource,TopLevelDomain,DownloadSpeed,PingTimeToServer,FileSizeBytes,HowManyTimesFileSeen,ExecutableCodeMaybePresentInHeaders,CallsToLowLevelSystemLibraries,EvidenceOfCodeObfuscation,ThreadsStarted,MeanWordLengthOfExtractedStrings,SimilarityScore,CharactersInUrl,ActuallyMalicious,InitialStatisticalAnalysis
2022-01-16 00:08:40.705847,Linked Directly to Google Search Result,.net,1MB/s to 10MB/s,301,2572377.0,524,NO,206.0,YES,3,4.62,-1.074513175,32,YES,Incorrectly Identified as Clean
2022-01-16 00:19:53.340812,Well Known Software Download Websites,.edu,100KB/s to 1MB/s,306,10852204.0,469,YES,1118.0,YES,1,5.35,1.203042511,76,NO,Correctly Identified as Clean
2022-01-16 00:29:58.450088,Linked Directly to Google Search Result,.net,100KB/s to 1MB/s,80,3278184.0,674,NO,269.0,YES,2,4.13,-0.451281335,61,NO,Correctly Identified as Clean
2022-01-16 00:40:11.596638,Wordpress Powered Web Site,.net,1MB/s to 10MB/s,227,3862980.0,426,NO,322.0,YES,3,4.29,0.233754477,84,YES,Incorrectly Identified as Clean
2022-01-16 00:51:10.585293,Linked Directly to Google Search Result,.com,100KB/s to 1MB/s,139,8286101.0,600,NO,790.0,NO,1,5.11,1.869800279,50,NO,Correctly Identified as Clean
2022-01-16 01:03:06.794555,Linked Directly to Google Search Result,.com,100KB/s to 1MB/s,62,12429592.0,679,YES,,YES,1,4.95,-0.143373348,85,YES,Incorrectly Identified as Clean
2022-01-16 01:13:52.744323,Linked Directly to Google Search Result,.net,100KB/s to 1MB/s,180,7286147.0,520,NO,674.0,NO,2,5.3,-1.396576678,73,NO,Correctly Identified as Clean
2022-01-16 01:25:36.502332,Well Known Software Download Websites,.gov,100KB/s to 1MB/s,71,5367230.0,635,YES,,YES,2,4.17,1.236287658,57,NO,Incorrecty Identified as Malware
2022-01-16 01:36:55.680770,Linked Directly to Google Search Result,.gov,1MB/s to 10MB/s,218,10336387.0,633,NO,1048.0,YES,1,4.83,-0.508278819,60,NO,Correctly Identified as Clean
2022-01-16 01:46:54.577011,Linked Directly to Google Search Result,.net,1MB/s to 10MB/s,484,5068685.0,554,NO,439.0,NO,1,4.33,-0.553638789,27,YES,Correctly Identified as Malware
2022-01-16 01:57:26.811718,Linked Directly to Google Search Result,.net,1MB/s to 10MB/s,423,6311331.0,616,YES,567.0,YES,1,4.57,1.335511439,92,NO,Correctly Identified as Clean
2022-01-16 02:07:45.158088,Well Known Software Download Websites,.edu,100KB/s to 1MB/s,205,13068675.0,620,NO,1439.0,YES,1,4.37,1.549613305,64,NO,Correctly Identified as Clean
2022-01-16 02:19:44.979159,Linked Directly to Google Search Result,.com,100KB/s to 1MB/s,243,5745586.0,485,NO,507.0,NO,1,5.56,0.304804117,102,NO,Correctly Identified as Clean
2022-01-16 02:31:23.125242,Well Known Software Download Websites,.gov,100KB/s to 1MB/s,344,525064.0,639,NO,39.0,NO,1,5.95,-1.597877695,74,YES,Correctly Identified as Malware
2022-01-16 02:41:01.707318,Well Known Software Download Websites,.net,100KB/s to 1MB/s,159,12790793.0,669,NO,1397.0,NO,4,5.32,-0.323955469,72,YES,Correctly Identified as Malware
2022-01-16 02:53:27.195180,Linked Directly to Google Search Result,.gov,100KB/s to 1MB/s,47,724791.0,648,YES,55.0,YES,1,4.3,-0.488371944,64,NO,Correctly Identified as Clean
2022-01-16 03:01:29.946722,Wordpress Powered Web Site,.net,1MB/s to 10MB/s,178,5922824.0,677,YES,526.0,NO,2,4.83,1.670072047,91,NO,Correctly Identified as Clean
2022-01-16 03:12:22.477278,Wordpress Powered Web Site,.com,100KB/s to 1MB/s,229,1986426.0,635,YES,156.0,YES,1,4.26,0.849938676,64,NO,Correctly Identified as Clean
2022-01-16 03:24:21.526390,Well Known Software Download Websites,.net,100KB/s to 1MB/s,677,7498694.0,538,NO,,NO,1,5.44,0.542429411,70,NO,Correctly Identified as Clean
2022-01-16 03:35:01.984706,Well Known Software Download Websites,.edu,100KB/s to 1MB/s,675,3146607.0,523,NO,,YES,3,5.13,0.825342523,83,YES,Correctly Identified as Malware
